channel_name,num_samples,num_spikes,max,max_time_bin,min,min_time_bin,sigma
12a,3075,6193,0.6843210075892137,4,0.07120943000161473,5,0.029506153093335194
12b,4541,7563,0.5575829697210102,3,0.36229009652254396,5,0.01585895648194457
12c,1544,2521,0.9440698135660452,4,0.31019436731455774,1,0.03200708262725935
12d,1836,2596,0.7442218798151001,3,0.4233436055469954,5,0.02012585057255063
13a,5554,9633,0.5464548946330323,4,0.40745354510536697,5,0.010671293942272382
13b,2949,3650,0.7284931506849315,4,0.38082191780821917,2,0.019556884214688038
14a,1421,1947,0.7796610169491526,4,0.30457113507960965,1,0.02769914292236112
14b,1086,1183,0.5638207945900253,4,0.34911242603550297,5,0.01905850293762867
16a,3567,5137,0.6610862371033678,3,0.22795405878917657,5,0.022162841977663557
22a,5035,13521,0.7503143258634717,5,0.3629169440130168,3,0.018991258459045614
22b,4374,7046,0.569826852114675,3,0.3210332103321033,5,0.01495653798884794
23a,4934,7169,0.5389873064583623,3,0.4283721579020784,5,0.011190172147049175
23b,796,938,0.8528784648187633,4,0.31769722814498935,1,0.03192761963331465
23c,925,1030,0.8029126213592233,4,0.34757281553398056,3,0.02660252124219263
23d,698,1081,0.851063829787234,4,0.32932469935245146,1,0.032048565460806144
24a,5502,10394,0.5868770444487205,3,0.3532807388878199,5,0.01715352194557391
24b,4101,4990,0.6050100200400802,3,0.1743486973947896,5,0.0177728385951808
24c,312,450,0.7133333333333334,4,0.2644444444444444,2,0.04112415095462768
24d,77,77,0.7272727272727273,4,0.3246753246753247,2,0.05850702667422274
25a,8679,17304,0.5176837725381415,4,0.46619278779472956,5,0.006551337011125335
25b,1588,1589,0.6872246696035242,4,0.34801762114537443,3,0.021953136584859152
25c,1230,1346,0.7488855869242199,3,0.150074294205052,5,0.030534998981202044
25d,938,938,0.7228144989339019,4,0.34754797441364604,3,0.026166820729972742
27a,2841,3321,0.6013249021379102,4,0.2595603733815116,5,0.018201503117095046
27b,463,841,0.8846611177170036,5,0.26040428061831156,3,0.04696439644085356
27c,373,400,0.7925,3,0.06,5,0.04628549785811504
27d,186,231,0.7316017316017316,4,0.2943722943722944,2,0.0477823858712772
27e,54,57,0.6666666666666666,2,0.15789473684210525,4,0.07293881984410529
27f,46,47,0.7021276595744681,3,0.1276595744680851,4,0.07953086409228481
28a,2654,2947,0.6233457753647778,3,0.2639972853749576,5,0.019113294027384098
28b,1928,2137,0.5634066448291998,3,0.37950397753860554,5,0.013811406704163184
28c,1403,1873,0.5531233315536572,7,0.44794447410571275,4,0.015666334548700395
31a,3034,3643,0.606368377710678,3,0.22206972275597037,5,0.021577473869139024
31b,1892,2717,0.7765918292234082,5,0.31026867868973135,3,0.025307667830556116
31c,1574,1851,0.5359265262020529,1,0.4392220421393841,5,0.014189655421679964
31d,780,834,0.8573141486810552,5,0.26139088729016785,3,0.03386419105778999
31e,224,341,0.6510263929618768,2,0.18181818181818182,5,0.04896285174275017
32a,5627,9764,0.6058992216304793,4,0.16263826300696435,5,0.01812165830702671
32b,4424,6974,0.5926297677086321,4,0.16217378835675367,5,0.021166090846980803
32c,3427,5638,0.5892160340546293,3,0.3018800993260021,5,0.017902415878394234
32d,3275,5209,0.686120176617393,4,0.23843348051449414,5,0.020683199610925112
33a,5303,8930,0.5596864501679731,3,0.3306830907054871,5,0.014677420601301458
33b,4600,5518,0.5681406306632838,3,0.2232693004711852,5,0.01606395351957212
33c,2808,3086,0.5887880751782243,3,0.2067401166558652,5,0.018408920808963645
36a,2039,2132,0.6027204502814258,3,0.22467166979362102,5,0.019535856060097785
36b,505,738,0.6260162601626016,4,0.4037940379403794,3,0.026264566528709725
36c,132,132,0.6742424242424242,7,0.23484848484848486,3,0.046990293963005074
36d,70,72,0.8888888888888888,4,0.1388888888888889,2,0.06899863835020328
36e,46,46,0.8695652173913043,4,0.15217391304347827,3,0.07892932732516854
37a,4782,6107,0.5464221385295562,3,0.41280497789421977,5,0.010021141871306403
37b,1376,2291,0.6154517677869926,5,0.3291139240506329,3,0.02049085181786154
37c,288,292,0.7465753424657534,5,0.3047945205479452,3,0.03512226788928018
41a,8839,29822,0.5302461270203206,3,0.4331701428475622,5,0.008683831180590861
41b,3023,4539,0.6607182198722186,5,0.3974443710068297,3,0.017146657208968286
41c,2698,5100,0.7650980392156863,4,0.36254901960784314,2,0.02663293063815082
42a,7860,28625,0.5835458515283842,3,0.3268122270742358,5,0.01515858950866385
42b,5276,8422,0.6119686535264782,4,0.17121823794823082,5,0.01791625405982092
45a,121,210,0.6190476190476191,6,0.35714285714285715,1,0.05143946927441815
46a,7489,8748,0.5170324645633287,3,0.4838820301783265,3,0.006632007837525908
47a,102,102,0.6764705882352942,5,0.18627450980392157,5,0.05324407277089071
47b,88,91,0.6703296703296703,0,0.3076923076923077,5,0.054918337184313014
47c,92,124,0.717741935483871,7,0.33064516129032256,5,0.05831709858369451
48a,215,453,0.6931567328918322,2,0.18543046357615894,4,0.04605959334732005
48b,186,243,0.6460905349794238,0,0.3662551440329218,1,0.04171960893052637
48c,73,107,0.6915887850467289,3,0.29906542056074764,7,0.06429426175293634
51a,6381,13574,0.5696183880948873,3,0.37343450714601445,5,0.013523478619667552
51b,6161,8141,0.5230315686033656,0,0.47586291610367276,5,0.007599914348352258
51c,1569,3136,0.6320153061224489,5,0.4017857142857143,3,0.023390049923845493
52a,5285,8174,0.5712013701981894,5,0.43736236848544163,3,0.010004156913398513
52b,980,1185,0.7932489451476793,5,0.3291139240506329,4,0.027637155178780678
53a,1396,1548,0.7080103359173127,3,0.07428940568475452,5,0.030590541804861544
57a,1720,1731,0.5326400924321202,4,0.4581166955517042,5,0.01221157255225856
57b,1462,1605,0.5445482866043614,2,0.46417445482866043,3,0.0135864887058189
61a,758,835,0.6071856287425149,4,0.4275449101796407,3,0.023797997895376247
61b,1024,1172,0.6612627986348123,5,0.39505119453924914,3,0.022572051271994888
61c,125,255,0.6627450980392157,5,0.3686274509803922,2,0.05144882525651343
61d,81,83,0.6746987951807228,4,0.3493975903614458,7,0.05916668463500211
62a,5941,8412,0.5209224916785544,1,0.4753922967189729,3,0.007682123962177504
62b,2387,3708,0.7179072276159655,5,0.3325242718446602,3,0.018897387575872043
62c,482,627,0.6858054226475279,2,0.08452950558213716,4,0.035734993703681966
64a,857,876,0.5490867579908676,7,0.4394977168949772,4,0.018132926053448618
72a,1820,2049,0.5363591996095657,0,0.46412884333821375,7,0.011971655993067454
73a,2127,2165,0.538568129330254,6,0.47020785219399536,1,0.010886495202562775
73b,75,123,0.6747967479674797,0,0.3089430894308943,3,0.06275373556525783
76a,2031,2181,0.5332416322787712,4,0.46629986244841815,3,0.012031445893105319
77a,423,430,0.5790697674418605,1,0.4186046511627907,4,0.025065382465050984
82a,260,299,0.5819397993311036,5,0.4080267558528428,4,0.02969803055671705
82b,94,129,0.6666666666666666,4,0.3178294573643411,1,0.054574197721993
82c,52,57,0.7192982456140351,0,0.2631578947368421,4,0.0710104734835867
83a,101,121,0.6694214876033058,3,0.35537190082644626,2,0.05470086705886288
83b,73,119,0.6638655462184874,2,0.2773109243697479,2,0.06589342809598958
83c,38,38,0.7368421052631579,5,0.2631578947368421,5,0.07575329803964947
86a,1755,1828,0.5404814004376368,4,0.4611597374179431,0,0.012490230362458806
87a,1131,1383,0.5415762834417932,5,0.45336225596529284,4,0.01579248745064848
