channel_name,num_spikes,cell_type,PSNR,eig1,eig2,eig3,converged,PSNR1,PSNR2,weight1,weight2,inner_product
12a,4601,OFF,16.783862029746317,0.735048714975914,0.6614078442663027,0.6522978674934314,True,11.260502360997519,16.80284410437925,0.1819989038877641,0.8180010961122348,0.29602999397931073
13a,12882,OFF,18.412213845226752,0.4134401960886601,0.4111444329797436,0.4096136820801311,True,8.405632168311843,8.286982989670909,0.49355144300290094,0.5064485569970989,-0.21021517556689318
13b,3707,unknown,9.652923432782476,0.538687749616616,0.5302243306058503,0.522985495858877,True,6.973474875322345,9.105924046085645,0.40919971455319926,0.5908002854468014,0.01424069764185196
13c,2914,ON,19.032339179313386,0.5676817115580544,0.5431633731154505,0.5368697556725429,True,17.086083773540356,6.52081923982911,0.6041607067781742,0.39583929322182565,-0.21786182821303093
14a,26257,ON,12.845637769563806,0.4157833599612787,0.4103566782038966,0.40464216877097364,True,9.943319234424669,5.676006321464741,0.49828451818106034,0.501715481818939,-0.225304059589451
14b,9180,OFF,14.153515857449886,0.47856346051687,0.4732984963400185,0.46611495527881397,True,9.220996461706743,6.033209225379662,0.5173523744421014,0.4826476255578992,-0.17945180323331306
16a,22460,unknown,9.654893642375002,0.4481509825390187,0.4206151201016486,0.4172136553745659,True,12.514052428301516,14.82159633470796,0.499446219978242,0.500553780021758,-0.25870980973480406
16b,7042,ON,19.70029099335126,0.46134581356681326,0.45224824090801385,0.44999215782535323,True,13.305648622318415,11.147586917654255,0.5030859524597778,0.49691404754022206,-0.12983520679273733
17a,16590,OFF,17.033404258728275,0.43604979439640074,0.430048273837744,0.41997104074622327,True,5.976012996780998,12.899620494643939,0.4944600385970028,0.5055399614029972,-0.17238670800831404
17b,14035,unknown,11.843573457741034,0.4498450566893916,0.4442448864660275,0.44078622922160393,True,7.610805995018157,6.193475709676226,0.4967114162289688,0.5032885837710315,-0.22197660891960186
17c,5516,unknown,5.800502549877786,0.48967424805118814,0.4810808967723873,0.47563775939663405,True,5.639085590635224,5.81499064017255,0.5347605072752211,0.4652394927247794,-0.2680545585549356
21a,7775,ON,22.112768723537663,0.4664458102372196,0.4617566390350669,0.45405709549196127,True,16.379778634877365,11.352768824841455,0.536170595527595,0.4638294044724056,-0.09702415354138433
21b,10519,unknown,9.359431393614692,0.4666087211697618,0.4591857110641793,0.4512730323918273,True,11.057068719318709,9.279408104342467,0.4727644455991156,0.5272355544008851,-0.22172780234038147
22a,11508,OFF,14.293647940005085,0.4620389711706433,0.44451055922367766,0.43868630945850795,True,11.505922493257664,8.615667247506712,0.4764149602878611,0.5235850397121393,-0.1774913121699544
22b,15606,OFF,16.50067347371919,0.44357224720900557,0.4390052228083208,0.4355438566890831,True,12.753436828236937,13.57139672340574,0.5042473092009286,0.4957526907990718,-0.22963652439622603
22c,5648,OFF,13.642576081223963,0.5399276817545052,0.5191692810718577,0.5145292141447907,True,10.382053147778329,10.723601595026611,0.4794659648853746,0.5205340351146253,0.016106969676857506
22d,5259,OFF,18.179803018789027,0.5883510551668015,0.5544645486102994,0.5477421838594868,True,16.077536091501326,6.704650077908437,0.5546318303008873,0.44536816969911197,-0.07673316655743033
23a,13447,unknown,12.650384735623243,0.4564034614441789,0.44574748015672944,0.43716899908376733,True,11.984796953600739,7.314264528771646,0.4921929878441751,0.5078070121558249,-0.23772766783644944
23b,4379,unknown,8.533363261638419,0.5145230727937232,0.505089808792918,0.5042886690404874,True,6.947871202559801,5.832729440796429,0.4928070877478642,0.5071929122521358,-0.25914102258519106
23c,1440,ON,16.3517561982205,0.7906691288396632,0.7626919914105839,0.7298793246802052,True,10.021987168846506,16.091708305496976,0.12276717915782002,0.8772328208421797,0.28373065758496957
