channel_name,PSNR,converged,PSNR1,PSNR2,weight1,weight2,inner_product
12a,15.123475199966354,True,15.04902484772039,8.700899589969488,0.5948949328484927,0.4051050671515075,0.11538267428169714
12b,18.62436762552253,True,13.514439878254267,15.858569097456988,0.4676923566616485,0.5323076433383511,0.14030952835072608
12c,9.580538830223949,True,6.146813002702246,7.826515926545239,0.26404441677177887,0.7359555832282212,-0.5815047021943573
13a,16.53842023231651,True,8.264378828661814,8.405456892648864,0.49622416955732274,0.5037758304426772,-0.2086937869816414
13b,17.037105763305604,True,6.038273429497742,17.231304283252832,0.0393461638642355,0.9606538361357645,0.5543029174950999
13c,17.011752764724378,True,6.535955180351646,17.024649647152184,0.034309428766497875,0.9656905712335018,0.8464917511429139
13d,7.128652324644398,True,6.192117475443358,6.585490714205684,0.07761384315245964,0.9223861568475407,-0.08168049044356294
13e,5.878483869635203,True,5.404218119914841,6.448894537106804,0.7495429088448563,0.2504570911551442,-0.5337398373983739
14a,13.178734260803736,True,5.826418896366189,12.935892570758753,0.050956331599723945,0.9490436684002758,0.24498610607708105
14b,13.728054255911923,True,6.136496507532875,14.004267027916308,0.042538621468098246,0.9574613785319015,0.44422726865805257
14c,10.645620054970443,True,10.703178798701453,4.741463469724396,0.9692088404388627,0.03079115956113805,0.12706270627062716
14d,5.396634555312554,True,3.22290372763658,6.31885097563572,0.04411764705882356,0.9558823529411765,0.051923076923076905
16a,7.602385221537277,True,6.864120361909459,5.722587362754721,0.7216761252814806,0.2783238747185193,0.04600542686480186
16b,6.715107826624896,True,5.933610396988972,5.970263279067798,0.7204039393551366,0.2795960606448634,-0.06801765650080255
16c,6.076516318010537,True,5.877495208348544,5.029057684861809,0.9166449056751036,0.0833550943248965,0.06395348837209305
17a,17.109873299736513,True,9.006588051242852,12.54403866409298,0.4477024535852912,0.5522975464147089,-0.1425966216603664
17b,7.897287423047557,True,7.11234600060746,5.437296515937515,0.9657790089740369,0.034220991025963376,0.07466849565614993
17c,6.080982332086062,True,6.771808245766517,5.401027930147037,0.6850450956644519,0.31495490433554835,0.03139344262295083
17d,6.5371072740755185,True,6.814183884538425,5.359176158305481,0.8639996275618856,0.13600037243811436,0.02097635392829915
21a,24.18276495513611,True,19.48611889156532,19.80446422306625,0.5235837248237604,0.4764162751762397,0.14742657694877298
21b,8.954060508596292,True,7.940932451521587,7.318385684401661,0.6667431579508887,0.33325684204911105,0.6336675020885547
21c,9.642001719150347,True,7.614761827430685,7.863297991672129,0.33084385047698794,0.6691561495230122,0.7633608815426998
21d,8.160056450641584,True,4.014420509056392,8.056705377530609,0.022248280783316077,0.9777517192166839,0.363486299108617
21e,11.634252367221858,True,4.77175134210784,12.31954402590309,0.052118194620652904,0.9478818053793471,0.21693121693121703
22a,17.556723676819928,True,18.74408604028175,14.883252599763612,0.6440701879684475,0.35592981203155255,-0.4790010237496602
22b,6.267734998652674,True,13.270176899809078,10.658682050556513,0.31383258273934694,0.686167417260656,-0.28788385047396303
23a,6.406902984849998,True,6.207158882753926,7.757289581479659,0.1182785993906309,0.8817214006093697,0.16119041206571494
23b,18.10371598660873,True,17.98034998578841,6.04802609212088,0.975250453622623,0.024749546377378015,0.5612842817445933
23c,7.998063527732367,True,7.6369816593795035,3.350473708107149,0.955882353023855,0.044117646976145015,1.3943064809206538
23d,9.449286908244662,True,2.7248123566353506,9.637300996635034,0.02631578947368424,0.9736842105263158,-0.11392405063291136
25a,12.069425553021425,True,9.002929610568264,6.694736762021409,0.4918706029554691,0.5081293970445315,-0.2501779878267669
25b,21.329144755570724,True,21.652556275391635,12.542753787249934,0.7465019431393182,0.25349805686068355,0.533862920632674
25c,10.319783475597038,True,11.00633681009792,5.144381229727075,0.9929918886768799,0.007008111323122172,0.08618108009183775
26a,16.000066515125596,True,13.813334523541993,14.629434884883116,0.43300248738178243,0.5669975126182181,0.2330003231130634
26b,16.62203488840807,True,9.874221477663507,16.787063206708524,0.15700582390915838,0.8429941760908419,0.9374161799697166
26c,10.314951685757055,True,3.7712753708499718,10.586610022081768,0.016063983630084946,0.9839360163699157,0.39387554431802224
26d,7.118389755592324,True,7.06198900065743,2.0,0.9879518075024833,0.012048192497516725,0.1941747572815533
27a,15.006151537079953,True,8.60853935485559,9.184674102429389,0.5147405505553089,0.485259449444691,-0.23277995056671796
27b,16.491749041581446,True,12.502105986313703,5.684771398376545,0.5551764802111666,0.44482351978883333,-0.22686096905972525
27c,12.135911824916702,True,8.412106285250076,8.619469424969088,0.4596349981932213,0.5403650018067783,-0.15032046746385527
27d,15.340199430588504,True,7.411516113265404,15.147219494085846,0.10899633103451127,0.8910036689654888,0.34378515185601805
28a,15.858221906638166,True,13.962509465918803,8.98128423729521,0.5431924301075138,0.4568075698924854,0.011594663540295966
28b,9.174550655503674,True,5.775010481538382,9.243994310975763,0.007706796260595996,0.992293203739405,0.0058260099389554135
28c,18.88343746759802,True,8.767021495233099,19.106824841138216,0.06913434120141362,0.930865658798587,0.8299724651765468
31a,23.46062259291965,True,13.273793026698677,10.876439509982943,0.49913380779744293,0.5008661922025569,-0.17735210164231346
31b,24.264938180398048,True,23.044494340991154,8.78565598474321,0.6856832627380948,0.31431673726190423,-0.06359508409903669
31c,8.504175017619025,True,5.984874738522843,8.637819043123093,0.0510056428934209,0.9489943571065791,0.11590003621876135
31d,12.423757791764388,True,10.79952582796443,7.331222732815277,0.5441370168282663,0.4558629831717337,-0.041155396327810206
32a,21.449005628385333,True,11.218311980447112,10.501250905418502,0.5138230697598479,0.48617693024015207,-0.2020532082316165
