channel_name,sta_PSNR,weight1,weight2,inner_product,PSNR0,PSNR1,max_weight,number_of_samples,number_of_spikes,eig1,eig2,eig3,cell_type
12a,15.123475199966354,0.4790794979079498,0.5209205020920502,-0.10472326566780847,9.875169902296607,9.409082108065798,0.5209205020920502,2868,4173,0.5784034408681613,0.5521948311765646,0.5521948311765646,ON
12b,18.62436762552253,0.5342831700801425,0.4657168299198575,-0.10996046436024633,13.086422975196214,11.361704557954226,0.5342831700801425,1123,1239,0.7441220193188582,0.7286743590419277,0.7286743590419277,OFF
12c,9.580538830223947,0.4875,0.5125,0.19136960600375252,5.75516446723369,8.126504912534894,0.5125,80,80,2.975777721094096,2.9374117836997247,2.9374117836997247,OFF
13a,16.53842023231651,0.4895584587804628,0.5104415412195373,-0.2018967312183175,7.148132615683682,8.262098970286063,0.5104415412195373,6610,8830,0.43260358852012776,0.4243800215316907,0.4243800215316907,OFF
13b,17.037105763305604,0.5,0.5,0.018982002249718744,11.982820152292573,12.310448913406768,0.5,648,998,1.284069116992154,1.2168702031689358,1.2168702031689358,OFF
13c,17.011752764724378,0.4956331877729258,0.5043668122270742,0.23640540842098864,11.945167169755793,13.899320472592144,0.5043668122270742,458,628,1.4840824422218093,1.4194474886901511,1.4194474886901511,ON
13d,7.128652324644397,0.5,0.5,-0.2675444596443229,5.6991685439091135,5.848143848019777,0.5,288,342,1.776912203670806,1.6589303050526074,1.6589303050526074,unknown
13e,5.878483869635201,0.5,0.5,-0.2669005102040816,5.5177196580325125,6.05905228887441,0.5,112,112,2.438374649994974,2.3301790715002912,2.3301790715002912,unknown
14a,13.178734260803735,0.5,0.5,-0.10550458715596328,11.41541458450907,9.04713681875459,0.5,712,863,1.0572558507683623,1.034104896958722,1.034104896958722,OFF
14b,13.728054255911925,0.500763358778626,0.4992366412213741,-0.14353554876654828,10.79025699948212,8.450875307906575,0.500763358778626,655,760,1.045664846846528,1.023996059110728,1.023996059110728,OFF
14c,10.645620054970443,0.5,0.5,-0.05362913791597501,8.02974629252404,8.509310274894029,0.5,208,214,1.768599857662317,1.7596643431446102,1.7596643431446102,ON
14d,5.396634555312554,0.5,0.5,-0.2405731523378581,5.6043956870100615,5.889885064879413,0.5,68,73,7.419156097110746,4.2451991411345515,4.2451991411345515,unknown
16a,7.602385221537277,0.4691689008042895,0.5308310991957105,-0.2884756476099103,6.206475663121675,5.667918958788031,0.5308310991957105,1119,1600,0.8073224052681046,0.7708647562195948,0.7708647562195948,unknown
16b,6.715107826624896,0.5108695652173914,0.4891304347826087,-0.3311621779859485,5.629004739643137,5.815636995381053,0.5108695652173914,184,234,2.1855837283830826,2.1362429205611653,2.1362429205611653,unknown
16c,6.076516318010538,0.5108695652173914,0.4891304347826087,-0.5526923076923077,5.4634148261417375,5.456589239777768,0.5108695652173914,92,102,5.343659087017623,3.3535375126334594,3.3535375126334594,unknown
17a,17.109873299736513,0.5,0.5,-0.11789606592238172,11.516051732748116,9.829504381926707,0.5,2704,2743,0.5195835382180678,0.5069554266535679,0.5069554266535679,ON
17b,7.897287423047558,0.5040431266846361,0.4959568733153639,-0.34621823489010994,6.823514332122778,6.0535111981980325,0.5040431266846361,371,432,1.8124404292457716,1.4098345231107345,1.4098345231107345,unknown
17c,6.080982332086062,0.4904761904761905,0.5095238095238095,-0.3324314574314574,6.002087241463458,6.278359343841032,0.5095238095238095,210,394,1.9242328279991123,1.897407413351472,1.897407413351472,unknown
17d,6.537107274075519,0.5,0.5,-0.5372093023255815,6.308466315917442,5.861365628189581,0.5,76,88,4.692952975620746,3.993568536459873,3.993568536459873,unknown
21a,24.182764955136108,0.4947216890595011,0.5052783109404989,0.034309580086778424,17.29355558798127,17.657629634778896,0.5052783109404989,2084,3114,0.655560037648733,0.6251287706318274,0.6251287706318274,OFF
