channel_name,num_spikes,cell_type,PSNR,eig1,eig2,eig3,converged,PSNR1,PSNR2,weight1,weight2,inner_product
12a,[3 2 2 ... 2 1 1],OFF,12.186540546145011,0.9713922521922855,0.7540074757700597,0.7373575269210187,True,11.450823197224537,10.235904024903862,0.6368338292972151,0.3631661707027845,0.42059881642078917
12b,"[1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 4 3 3 1 1 3 3 2 3 2 3 2 1 1 3 2 1 3 2 1 1
 1 1 1 3 4 2 2 1 2 2 2 3 2 1 1 1 1 2 4 2 2 3 2 2 3 2 2 1 2 2 1 2 1 3 2 3 1
 1 3 2 1 1 2 1 2 2 2 1 2 1 1 2 3 2 1 1 3 1 1 1 1 2 2 2 1 1 1 2 1 1 1 2 1 1
 2 2 1 1 1 1 1 4 2 1 2 1 2 2 1 1 1 1 1 1 2 1 1 1 1 2 3 1 1 1 3 2 1 1 1 1 2
 1 1 1 1 2 2 1 1 1 3 1 2 2 2 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1 1 3 2 2 1 1 1
 1 2 1 1 2 3 1 1 2 2 3 1 1 2 1 3 2 2 1 1 1 1 1 2 3 3 1 2 2 3 1 3 1 2 1 2 2
 1 1 1 1 2 1 1 2 1 2 1 1 1 3 2 1 2 2 3 1 2 1 1 2 2 1 1 3 2 2 2 2 2 1 1 2 1
 2 1 2 1 3 1 2 1 1 2 1 1 3 2 1 1 1 3 1 1 3 2 1 2 1 1 1 1 1 1 1 2 1 1 3 1 1
 1 1 1 2 2 1 2 2 2 1 1 3 2 1 2 2 2 3 1 2 1 1 2 1 1 1 1 1 1 1 3 1 2 1 1 3 1
 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 1 2 2 1 2 2 1 2 1 2 1 2 2 1 2 1 2 1 3 1
 2 1 1 1 1 2 1 1 2 1 2 2 2 1 2 1 1 1 1 1 1 3 1 3 3 2 1 1 2 2 1 1 1 2 1 1 1
 1 2 1 1 1 2 2 1 2 3 1 1 2 1 1 2 2 1 1 1 1 1 2 2 1 2 1 1 2 2 1 1 1 2 2 1 1
 1 2 3 1 1 1 2 2 1 2 1 1 1 3 1 2 1 1 1 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 2
 2 1 1 1 1 1 2 1 1 1 3 1 2 1 1 2 1 2 1 1 1 2 2 1 1 1 1 1 1 1 1 2 1 2 1 1 1
 2 1 1 1 1 2 2 1 1 1 2 1 1 1 1 1 2 2 1 1 2 1 1 1 1 1 1 2 1 1 1 1 3 1 1 1 1
 2 2 2 1 2 1 2 1 2 1 1 1 2 1 3 1 1 1 1 1 1 1 1 1 2 1 1 2 2 1 1 1 2 1 1 1 1
 1 2 1 1 1 1 1 1 1 1 1 1 3 1 2 2 2 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 2 3 2 1 1 3 1 1 2 1 1 1 1 2 1 1 1 2 2 1 2
 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1
 1 2 1 2 1 2 1 1 1 1 1 1 1 1 2 2 1 1 1 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 2
 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]",ON,9.526389107321574,0.9200079809877126,0.8954423639337291,0.8718386622897064,True,9.397620907274955,7.944037359097275,0.6669078373575125,0.333092162642488,0.25918405765920827
12c,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",unknown,6.190783524813223,4.805752780447614,3.7903272425306977,3.660127290779746,True,2.0007481001952483,6.367349960039527,0.017241379310344866,0.9827586206896551,-0.28070175438596534
13a,"[2 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 1 1 1 2 1 1 1 2 1 1 3 1
 1 1 1 1 1 2 1 1 3 1 1 1 1 1 4 1 3 1 1 1 1 1 2 1 1 2 1 1 2 1 2 1 1 1 2 1 1
 2 1 1 1 1 1 1 1 3 1 2 1 1 1 1 3 1 1 1 2 1 1 3 1 1 1 1 2 2 1 3 1 2 1 1 1 1
 2 1 2 1 1 1 1 1 1 2 1 1 1 2 1 2 1 1 1 2 2 1 3 1 1 1 3 1 1 1 1 1 1 2 2 1 1
 1 1 2 1 1 2 1 1 1 2 1 3 1 1 2 1 1 2 1 1 2 1 1 2 1 1 1 1 1 2 2 1 2 1 1 1 2
 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 4 1 2 1 1 1 1 1 1 2 2 1 2 1 2 2 1 2 1 4
 4 2 1 2 1 1 2 1 2 2 2 1 1 2 1 1 1 2 1 1 3 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 4 2 1 1 1 1 4 2 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 2
 1 1 3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 2 1 1 2 3 1 1 1 2 1 2 3 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 5 2 1 4 1 1 1 1 1 1 1 1 1 1 2 2 1 2 1 1 1 1 1 1 1 1 1 1
 2 1 3 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 2 1 1 1 2 1 2 1 1 2
 1 2 1 1 2 2 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 1 1
 1 1 1 1 1 1 1 1 3 1 1 1 1 1 2 3 1 1 1 1 1 2 1 1 1 1 1 1 2 2 2 2 1 2 1 1 1
 1 4 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 3 2 2 1 2 1 1
 1 1 1 1 1 3 1 1 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 2 1 1 1 1 1 3 1 2 1 2 3 1 1
 3 3 2 1 2 2 1 2 1 1 3 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 2 1 3
 1 1 1 3 1 1 1 1 1 4 2 1 1 2 2 1 1 1 1 1 3 2 1 1 3 1 1 3 2 1 1 1 1 3 1 2 2
 1 2 1 1 2 1 1 1 1 4 1 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 2 1 2 1 1 1 1 1 4 1 1 1 1 1 1 1 1 1 1 1 1 3 2 3 1 1 2 2 1 1 1 1 1 3 1 1
 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1]",OFF,11.134041128046952,1.1132980937294141,1.056309006762919,1.029772177104085,True,7.257809621111085,11.420735787221545,0.10228439164440052,0.8977156083555997,0.46638212531818063
13b,"[1 1 1 1 1 1 2 2 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1
 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 2 1 1 2
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1
 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1
 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1
 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2
 1 2 1 1 1 1 1 1 1 1 1 1 1]",ON,16.72186644917289,1.2663909696928026,1.249651039515263,1.21665906806149,True,15.657983362061008,8.529152356699262,0.614330633484669,0.38566936651533046,0.18499585111427214
13c,"[3 3 1 1 4 2 2 2 1 1 2 1 1 1 2 2 1 1 2 2 2 2 1 1 1 2 1 2 2 2 4 1 3 1 2 3 1
 2 1 1 2 1 3 1 2 3 2 1 4 2 1 2 3 1 1 1 4 2 3 2 2 2 1 2 2 2 2 1 1 2 2 3 2 1
 2 2 2 1 1 1 2 1 2 4 4 1 1 1 1 1 2 1 2 4 2 1 1 1 1 3 1 2 1 4 1 2 1 2 2 1 1
 2 2 3 1 2 1 1 2 2 1 1 1 2 2 1 1 1 1 1 2 1 1 3 1 1 1 2 1 1 1 2 2 2 1 2 2 1
 1 2 4 3 1 1 1 1 1 2 2 1 2 1 3 1 1 1 1 2 2 1 1 3 2 1 2 1 1 1 2 2 3 1 3 3 1
 1 1 2 3 1 2 1 2 2 2 1 2 2 2 1 1 2 3 1 1 2 1 1 1 2 1 2 1 1 2 2 2 1 2 2 2 2
 2 1 2 2 1 1 2 3 1 2 1 1 1 1 1 2 2 1 2 3 1 2 2 2 2 2 1 2 2 1 2 2 1 2 1 1 2
 1 6 3 1 2 1 1 1 1 2 1 2 1 2 3 2 1 2 1 1 1 2 2 1 3 1 3 1 1 2 1 1 1 1 2 1 1
 1 1 1 3 1 2 1 1 1 2 1 3 2 1 1 5 1 1 3 3 1 4 4 2 1 2 2 1 1 2 2 3 2 3 2 5 2
 2 3 1 4 1 1 2 1 2]",OFF,13.840239596777034,1.727560130675248,1.5566379692953753,1.542629802792702,True,6.747000001693469,13.615783454638121,0.0770442454429477,0.9229557545570519,0.5667071197411002
13d,"[3 2 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1 1 2 1 2 1 2 1 1 3 1 3 1 1 1 2 2 2 2 1 1
 2 1 2 2 1 1 3 1 2 1 1 3 2 3 1 1 1 1 1 3 4 1 1 1 1 1 3 1 1 1 1 3 2 2 1 2 1
 2 3 1 3 1 1 2 1 1 1 3 2 3 2 1 2 1 2 2 2 3 2 2 1 3 1 3 1 1 1 1 2 3 3 1 2 1
 2 2 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 3 2 2 1 2 1 2 2 1 2 1 1 1 1 2 2
 1 2 3 2 1 2 1 2 3 3 2 1 1 1 2 3 1 1 1 1 1 1 1 2 1 2 1 1 1 2 2 1 3 1 1 2 1
 2 2 1 1 2 1 1 1 1]",unknown,7.454541761055534,2.1882072740811713,2.152215368831707,2.078985750469221,True,5.78446486534602,7.3783979410010785,0.18200476555055908,0.8179952344494406,0.1655067155067153
14a,[2 3 1 ... 2 4 4],ON,25.77506391779178,0.6207854004016091,0.5717455941803952,0.5627778103423942,True,25.666971883272605,15.663858507243845,0.6034446006293704,0.3965553993706291,-0.20480558826034026
14b,[1 2 1 ... 1 1 1],ON,11.186482138511007,0.7958038374246732,0.7664904538250324,0.7462176755308818,True,11.54816638817226,10.326140870572686,0.5267599583928215,0.4732400416071778,-0.07835138319959589
17a,[1 2 1 ... 1 2 2],unknown,8.452867563895103,0.4366998922722171,0.4340493022638269,0.43059766304657743,True,6.263843488963598,5.971286076335759,0.5045305100650829,0.49546948993491663,-0.25157371455130584
