channel_name,weight1,weight2,inner_product
12a,0.5156903765690377,0.48430962343096234,-0.12892526525015874
12b,0.46126447016918964,0.5387355298308103,-0.10806736844314774
12c,0.5,0.5,0.03625000000000006
13a,0.49122541604454717,0.5087745839554529,-0.20708669529589005
13b,0.5,0.5,0.013132264400012916
13c,0.4978165938864629,0.5021834061135371,0.175967624148004
13d,0.5034722222222222,0.4965277777777778,-0.3462774870900449
13e,0.5089285714285714,0.49107142857142855,-0.25709728867623605
14a,0.5,0.5,-0.1582835620123755
14b,0.49770992366412214,0.5022900763358779,-0.1371235257861897
14c,0.5,0.5,-0.02698925670364212
14d,0.5,0.5,-0.22030075187969927
16a,0.46201966041108133,0.5379803395889187,-0.30182168365299744
16b,0.5054347826086957,0.4945652173913043,-0.4310924369747899
16c,0.5,0.5,-0.18800461361014992
17a,0.4996301775147929,0.5003698224852071,-0.11568053691846052
17b,0.5040431266846361,0.49595687331536387,-0.31168552812071326
17c,0.5,0.5,-0.29259431045145334
17d,0.5,0.5,-0.4912008281573499
21a,0.511996161228407,0.4880038387715931,0.04884145033254664
21b,0.49206349206349215,0.5079365079365079,0.31391492429704404
21c,0.5000000000000001,0.5000000000000001,0.4544950055493897
21d,0.49528301886792453,0.5047169811320755,-0.11805555555555558
21e,0.5,0.5,0.3621088006721277
22a,0.4154187465335552,0.5845812534664449,-0.39629536379018615
22b,0.46694966646452396,0.533050333535476,-0.30266388436903535
23a,0.5064935064935064,0.4935064935064935,-0.2817637570568894
23b,0.5017605633802817,0.4982394366197183,0.1467564282492105
23c,0.5,0.5,0.2734693877551022
23d,0.5,0.5,-0.20340909090909082
25a,0.5033792917004596,0.4966207082995404,-0.24015931833521412
25b,0.5384615384615384,0.46153846153846156,0.2457835397279856
25c,0.526355421686747,0.473644578313253,-0.2584648417481047
26a,0.506578947368421,0.4934210526315789,0.022637314585557636
26b,0.5,0.5,0.49017201754553497
26c,0.4979919678714859,0.5020080321285141,0.16062592775853526
26d,0.5060240963855421,0.4939759036144578,0.01900584795321647
27a,0.49191190801013446,0.5080880919898655,-0.2249063843720488
27b,0.4879245283018868,0.5120754716981132,-0.19768377520048122
27c,0.4669051878354204,0.5330948121645797,-0.19623258269233002
27d,0.2658486707566462,0.7341513292433538,0.08650269928275361
28a,0.5091053048297703,0.4908946951702296,-0.032405975162416584
28b,0.49783549783549785,0.5021645021645021,-0.2515867890251052
28c,0.4986301369863014,0.5013698630136987,0.28218875015153355
31a,0.5086096508524445,0.4913903491475554,-0.15441210793451232
31b,0.4842259721203228,0.5157740278796772,0.2386866299543854
31c,0.4980392156862745,0.5019607843137255,-0.2745276942893946
31d,0.5048231511254019,0.49517684887459806,-0.23160173160173148
32a,0.49118106720250054,0.5088189327974995,-0.17515688152875925
32b,0.49586640211639604,0.5041335978836039,-0.20617646909692147
32c,0.5147058823529411,0.4852941176470588,-0.33546592783723195
33a,0.7651991614255765,0.2348008385744235,0.3418649755927474
33b,0.49584026622296173,0.5041597337770383,0.006721804639430035
33c,0.49152542372881364,0.5084745762711865,-0.28017241379310326
33d,0.5068493150684932,0.4931506849315068,-0.11073573573573584
35a,0.49983739839630764,0.5001626016036926,-0.1425388867853369
35b,0.5078534031413613,0.49214659685863876,0.20548834943573915
35c,0.5000000000000001,0.5000000000000001,-0.41836734693877586
35d,0.4895833333333333,0.5104166666666666,-0.04464285714285704
35e,0.5046728971962616,0.4953271028037383,0.17723924922784512
35f,0.5068493150684932,0.4931506849315068,-0.3044294294294294
35g,0.5,0.5,-0.4932851239669421
36a,0.5102397625433653,0.4897602374566346,-0.21509979921022893
36b,0.5040067482075073,0.4959932517924926,-0.06204815988915249
36c,0.5241762943945228,0.4758237056054771,-0.5608193706189637
36d,0.5022026431718062,0.4977973568281938,-0.012970405553525823
37a,0.49536763256475286,0.5046323674352471,-0.1460372095810043
37b,0.4866778460965153,0.5133221539034846,-0.18188320142622935
37c,0.5,0.5,0.34498304712139277
37d,0.501101321585903,0.4988986784140969,-0.24406536438245732
37e,0.49230769230769234,0.5076923076923077,-0.20075757575757577
38a,0.5074219933430655,0.4925780066569346,-0.19501276995395145
41a,0.2922465208747515,0.7077534791252486,0.28228494753056704
41b,0.5038461538461538,0.49615384615384617,-0.28646540027137035
41c,0.5000000000000001,0.5000000000000001,-0.632231404958678
41d,0.5,0.5,-0.2188365650969531
42a,0.5010029652550199,0.49899703474498,-0.2268427504056394
42b,0.49214659685863876,0.5078534031413613,-0.2628279883381924
42c,0.5,0.5,-0.39151925078043726
43a,0.5109067017082786,0.48909329829172143,-0.07293392319791288
43b,0.4940152339499456,0.5059847660500544,-0.3237784629981025
43c,0.4980237154150198,0.5019762845849802,-0.19259286812478302
45a,0.4984520123839009,0.5015479876160991,0.42994558759146895
45b,0.5,0.5,-0.1264087596166823
45c,0.5,0.5,0.23196778711484595
46a,0.5114166462067272,0.4885833537932728,-0.2104230616097918
46b,0.4899244332493703,0.5100755667506297,-0.2581006629447794
47a,0.51357733175915,0.48642266824085006,-0.024454220252147316
48a,0.49333333333333335,0.5066666666666667,-0.23173439463762044
48b,0.4956521739130435,0.5043478260869565,-0.3992314874667816
48c,0.5021645021645021,0.49783549783549785,-0.273575712143928
48d,0.5076923076923077,0.49230769230769234,-0.14692378328741976
48e,0.5000000000000001,0.5000000000000001,-0.2600000000000001
51a,0.48347932980391206,0.516520670196088,-0.18225498324263753
51b,0.5,0.5,-0.2864612775579424
53a,0.5016501650165016,0.49834983498349833,-0.3094175114239194
53b,0.5054945054945055,0.4945054945054945,-0.41143271789083274
53c,0.4966887417218543,0.5033112582781457,-0.3104668674698795
53d,0.5,0.5,-0.16129032258064518
54a,0.4977707006369427,0.5022292993630574,0.1539546233943538
54b,0.5118556701030927,0.4881443298969072,-0.1102187626460997
54c,0.49942726231386025,0.5005727376861397,-0.2978785478547855
54d,0.501779359430605,0.498220640569395,-0.3097174254317112
56a,0.4841589861751152,0.5158410138248848,0.06100903982321424
56b,0.513731233980227,0.486268766019773,-0.2637879750939275
58a,0.5058823529411764,0.49411764705882355,-0.439575830332133
61a,0.4940004527960154,0.5059995472039847,0.010906040059522795
61b,0.5049668874172185,0.49503311258278143,-0.2783127494945081
62a,0.5051150895140665,0.4948849104859335,-0.23669912761673062
62b,0.5161878704970361,0.483812129502964,-0.25590622819470177
63a,0.5227982510930669,0.4772017489069332,-0.004784646857079605
63b,0.47019053472649047,0.5298094652735095,-0.024530725153131816
63c,0.531332744924978,0.46866725507502205,-0.30422740751998073
63d,0.5025996533795494,0.49740034662045063,-0.29324853015102836
63e,0.5121951219512196,0.4878048780487806,-0.9374999999999999
64a,0.5,0.5,-0.08421587334910341
65a,0.5036179450072359,0.4963820549927641,-0.0041665877540199014
65b,0.5041322314049587,0.49586776859504134,-0.12555456965394846
65c,0.4956140350877193,0.5043859649122807,-0.17289547397906524
68a,0.4985507246376812,0.5014492753623189,-0.3066273384353741
68b,0.4984126984126984,0.5015873015873016,-0.26772869006822886
71a,0.49809313908368286,0.5019068609163171,-0.2115659658070959
71b,0.5045500505561172,0.4954499494438827,-0.1343845439038851
71c,0.5040650406504065,0.4959349593495935,-0.2482975273516059
72a,0.4874037788663317,0.5125962211336683,-0.06624123600420904
72b,0.4960835509138381,0.5039164490861618,-0.21332641052267204
72c,0.505464480874317,0.49453551912568305,-0.2527437780497756
72d,0.5,0.5,-0.17543053960964405
72e,0.48648648648648657,0.5135135135135136,-0.455263157894737
73a,0.4663648124191462,0.5336351875808538,0.05368454311374843
73b,0.4958183990442055,0.5041816009557945,-0.05399385865973697
73c,0.49673202614379086,0.5032679738562091,-0.032985690031530505
74a,0.5324786324786325,0.4675213675213675,-0.21569062909338418
74b,0.5039370078740157,0.49606299212598426,-0.2113096258701691
74c,0.5,0.5,-0.23586474501108634
74d,0.4953271028037383,0.5046728971962616,-0.24444444444444444
75a,0.4953596287703016,0.5046403712296984,0.01967918757667192
76a,0.5179661016949153,0.48203389830508475,-0.26145524077894633
76b,0.5025188916876574,0.49748110831234255,-0.3129833201418814
76c,0.49798387096774194,0.5020161290322581,-0.3124045746550284
77a,0.5,0.5,-0.09616153538584568
82a,0.4958061509785648,0.5041938490214353,-0.018922474915935128
82b,0.4619666048237477,0.5380333951762524,0.0014591439688716457
82c,0.5,0.5,-0.09515708973760675
83a,0.4789966756242257,0.5210033243757743,-0.07522543139603349
83b,0.7854442344045368,0.21455576559546313,0.1968421349026454
83c,0.5039123630672926,0.49608763693270735,0.16869971619756816
85a,0.49906191369606,0.50093808630394,0.2012194460710955
85b,0.49622166246851385,0.5037783375314862,-0.046314559135071945
86a,0.458590006844627,0.5414099931553731,0.30286130191511634
86b,0.46321321321321324,0.5367867867867868,-0.3251014189435415
86c,0.49809885931558934,0.5019011406844106,-0.26853059581320454
86d,0.4966442953020134,0.5033557046979866,-0.05422955422955415
87a,0.5007747933884298,0.49922520661157027,0.0815403286077465
