channel_name,weight1,weight2
ch_12a,0.5312243221035333,0.46877567789646674
ch_13c,0.49808282208588955,0.5019171779141104
ch_16a,0.5069384496117836,0.4930615503882166
ch_21b,0.510884125920744,0.4891158740792559
ch_22b,0.508381463607972,0.49161853639202774
ch_22d,0.5064392620953707,0.4935607379046293
ch_23a,0.5108386903523245,0.48916130964767524
ch_23d,0.5,0.5
ch_25a,0.49769254905079724,0.5023074509492033
ch_26b,0.4917204113648507,0.5082795886351493
ch_26c,0.5078812691914022,0.49211873080859786
ch_31a,0.4887197233170092,0.5112802766829908
ch_32b,0.4970260223048327,0.5029739776951673
ch_34a,0.4977448453609993,0.5022551546390007
ch_41a,0.4901730709139435,0.5098269290860562
ch_41b,0.5075085324232081,0.4924914675767918
ch_41c,0.4943089430894309,0.5056910569105691
ch_42b,0.5084167424931756,0.4915832575068244
ch_43a,0.4947991391678564,0.5052008608321436
ch_43e,0.5025188916876574,0.49748110831234255
ch_47c,0.5193939393939394,0.4806060606060606
ch_61a,0.4977087069137282,0.5022912930862719
ch_61b,0.47624633431085045,0.5237536656891496
ch_61c,0.49747474747474746,0.5025252525252525
ch_67a,0.5163300386764074,0.48366996132359263
ch_85a,0.4990512333965844,0.5009487666034156
ch_85b,0.49005072181037845,0.5099492781896215
