channel_name,num_spikes,cell_type,PSNR,eig1,eig2,eig3,converged,PSNR1,PSNR2,weight1,weight2,inner_product
12a,4173,ON,15.123475199966354,0.5784034408681613,0.5521948311765646,0.5444418977101353,True,14.98166570316966,10.022032436426807,0.6086746644927938,0.39132533550720483,0.14628832699634914
12b,1239,OFF,18.62436762552253,0.7441220193188582,0.7286743590419277,0.7192563759034691,True,12.704833203876953,15.957717570011402,0.39985763085328246,0.6001423691467173,0.12133027132289072
12c,80,OFF,9.580538830223949,2.975777721094096,2.9374117836997247,2.8987256144934475,True,7.898626601716196,6.168978574976732,0.6469959577019644,0.3530040422980355,0.205398288347597
13a,8830,OFF,16.53842023231651,0.43260358852012776,0.4243800215316907,0.42261056072631775,True,7.816692413143586,8.263474070505087,0.5017390006430729,0.49826099935692714,-0.21077150834617317
13b,998,OFF,17.037105763305604,1.284069116992154,1.2168702031689358,1.162346579337977,True,6.577663979719311,17.203500527783614,0.037369262586594267,0.9626307374134051,0.5315941706530203
13c,628,ON,17.011752764724378,1.4840824422218093,1.4194474886901511,1.3068252714371593,True,16.61275591861572,9.827077105523049,0.8952323073260362,0.10476769267396327,0.6412887355335062
13d,342,unknown,7.128652324644398,1.776912203670806,1.6589303050526074,1.6471896934371104,True,5.5888408378889265,6.303543050018605,0.08266123535177167,0.9173387646482278,-0.02676591700981938
13e,112,unknown,5.878483869635203,2.438374649994974,2.3301790715002912,2.277194189237107,True,6.158826240657159,5.233908934574299,0.7150883057188597,0.2849116942811402,-0.17235772357723586
14a,863,OFF,13.178734260803736,1.0572558507683623,1.034104896958722,0.9910368406795194,True,12.76567693916619,6.396757890591982,0.9521321250572706,0.04786787494272809,0.24691706916041506
14b,760,OFF,13.728054255911923,1.045664846846528,1.023996059110728,0.9653011281417728,True,5.8299586247394215,13.899294273748813,0.04102628858772955,0.9589737114122703,0.4069761444229529
14c,214,ON,10.645620054970443,1.768599857662317,1.7596643431446102,1.7026481700674776,True,10.450531700273014,4.3908028818926255,0.9759615384615384,0.024038461538461547,0.257843137254902
14d,73,unknown,5.396634555312554,7.419156097110746,4.2451991411345515,3.8221571401816457,True,6.3506889780899245,3.6150361858652067,0.9411764715191997,0.058823528480800254,0.10850694444444442
