channel_name,weight1,weight2
ch_13b,0.5013054830287206,0.49869451697127937
ch_13c,0.5087719298245614,0.49122807017543857
ch_14a,0.5044091710758377,0.49559082892416223
ch_14b,0.5180722891566265,0.4819277108433735
ch_23a,0.4921894371435656,0.5078105628564344
ch_23b,0.5088993824918271,0.4911006175081729
ch_24b,0.5161290322580645,0.4838709677419355
ch_32b,0.49605855855855857,0.5039414414414415
ch_33b,0.49292452830188677,0.5070754716981132
ch_34a,0.5092204526404024,0.49077954735959767
ch_35a,0.4572722127900396,0.5427277872099604
ch_42b,0.4812734082397004,0.5187265917602997
ch_43a,0.5077738515828686,0.4922261484171315
ch_43b,0.5,0.5
ch_45b,0.47746090156393745,0.5225390984360626
ch_52a,0.509829619921363,0.49017038007863695
ch_52b,0.5047923322683706,0.4952076677316294
ch_53a,0.49966599866399464,0.5003340013360054
ch_53b,0.4877932024892293,0.5122067975107707
ch_54a,0.4926839921380214,0.5073160078619786
ch_54b,0.505307855626327,0.49469214437367304
ch_64a,0.5017800632911362,0.4982199367088637
ch_73a,0.4988179669030733,0.5011820330969267
ch_73b,0.4877571008814887,0.5122428991185113
