channel_name,PSNR,converged,PSNR1,PSNR2,weight1,weight2,inner_product
12a,15.123475199966354,True,15.143780828570662,9.88143561747435,0.6152910303883682,0.38470896961163153,0.14943089458532557
12b,18.62436762552253,True,12.842484152596194,15.773688661444513,0.405154696305682,0.5948453036943189,0.11808346126061045
12c,9.580538830223949,True,7.898626601716196,6.168978574976732,0.6511716475907329,0.34882835240926724,0.205398288347597
13a,16.53842023231651,True,8.288685495403731,8.004350782200227,0.5161652065362679,0.4838347934637318,-0.20842771956359907
13b,17.037105763305604,True,6.577663979719311,17.203500527783614,0.03731881244424007,0.9626811875557608,0.5315941706530203
13c,17.011752764724378,True,16.61275591861572,9.827077105523049,0.8953230269668221,0.10467697303317834,0.6412887355335062
13d,7.128652324644398,True,6.486901845675357,5.688174632695797,0.9207338234055378,0.07926617659446154,-0.02216491480054849
13e,5.878483869635203,True,5.7731509247196575,6.351298171330674,0.6537489779434248,0.34625102205657504,-0.10522522522522533
14a,13.178734260803736,True,12.781850402584652,6.95547986869716,0.9416971247406549,0.05830287525934614,0.24348061265159712
14b,13.728054255911923,True,5.8299586247394215,13.899294273748813,0.0410368914971313,0.9589631085028688,0.4069761444229529
14c,10.645620054970443,True,10.450531700273014,4.3908028818926255,0.9759615384615384,0.024038461538461547,0.257843137254902
14d,5.396634555312554,True,6.3506889780899245,3.6150361858652067,0.9411764715191997,0.05882352848080025,0.10850694444444442
16a,7.602385221537277,True,6.149962034359334,6.139377460002519,0.8406760009115513,0.1593239990884486,0.06263530677879142
16b,6.715107826624896,True,5.752463755360588,5.858237200870083,0.7993812884814703,0.20061871151852895,-0.03463855421686751
16c,6.076516318010537,True,5.419867761720192,3.1308690166568036,0.967391304347826,0.03260869565217394,-0.01861702127659562
17a,17.109873299736513,True,8.851174293454696,11.946577199658222,0.44481562876057534,0.5551843712394241,-0.14037689847470414
17b,7.897287423047557,True,6.291217730182378,6.548217611328935,0.06766909382162256,0.9323309061783778,0.05115248668292921
17c,6.080982332086062,True,5.698896710933059,6.597830829113148,0.29517841617140606,0.7048215838285941,0.078879781420765
17d,6.5371072740755185,True,5.432796634896572,6.2842784440275254,0.14775814657830702,0.8522418534216931,-0.17023411371237462
21a,24.18276495513611,True,18.79208236310466,22.7499121174534,0.40289546831453665,0.5971045316854635,0.26365801874579253
21b,8.954060508596292,True,7.112602170750822,8.285083574674815,0.29331463318577344,0.7066853668142269,0.6064527260179435
21c,9.642001719150347,True,7.94690671606628,7.538251435346107,0.349017293075936,0.6509827069240641,0.6808390022675737
21d,8.160056450641584,True,7.768862545085259,5.798396546733751,0.9467978125083969,0.05320218749160294,0.40727792785634825
21e,11.634252367221858,True,12.41844856998503,4.3259292684715875,0.9621212121210332,0.03787878787896686,0.15937499999999996
22a,17.556723676819928,True,18.526113233135412,14.355035200405972,0.5883521395576577,0.4116478604423419,-0.42980129766884173
22b,6.267734998652674,True,9.808664828791603,6.031358393916485,0.08905154252262847,0.9109484574773687,-0.06116164572732325
23a,6.406902984849998,True,7.996429732033936,6.345263706631115,0.8256590015789974,0.17434099842100226,0.170136709213922
23b,18.10371598660873,True,6.466564019306751,18.097462627459354,0.029848049491791935,0.9701519505082081,0.6185288095934485
23c,7.998063527732367,True,3.7315938489401566,7.906758769282905,0.058823529408826285,0.9411764705911736,0.9242666666666666
23d,9.449286908244662,True,9.422561806864516,3.4616161911868013,0.9605263157894737,0.03947368421052635,0.031539888682745654
