channel_name,cell_type,PSNR,eig1,eig2,eig3,converged,PSNR1,PSNR2,weight1,weight2,inner_product
12a,OFF,12.186540546145011,0.9713922521922855,0.7540074757700597,0.7373575269210187,True,10.933744511520786,10.79279223969981,0.5468641266794143,0.4531358733205862,0.47608622643885656
12b,ON,9.526389107321574,0.9200079809877126,0.8954423639337291,0.8718386622897064,True,9.319986998044566,7.497215768696911,0.7951741450430272,0.20482585495697256,0.3068755796148123
12c,unknown,6.190783524813223,4.805752780447614,3.7903272425306977,3.660127290779746,True,3.197004212169,5.973077921024487,0.05171795363148803,0.948282046368512,-0.12272727272727296
13a,OFF,11.134041128046952,1.1132980937294141,1.056309006762919,1.029772177104085,True,7.062643911711959,11.383317228411464,0.06613666637077123,0.9338633336292284,0.5397563045265308
13b,ON,16.72186644917289,1.2663909696928026,1.249651039515263,1.21665906806149,True,8.623784860582157,15.919126496826983,0.22497753669533396,0.775022463304665,0.3145890927368685
13c,OFF,13.840239596777034,1.727560130675248,1.5566379692953753,1.542629802792702,True,13.817684344464055,7.688385682342416,0.9210826629700378,0.07891733702996256,0.5899575464792857
13d,unknown,7.454541761055534,2.1882072740811713,2.152215368831707,2.078985750469221,True,7.347249219881311,6.1454888635753155,0.7892278422458577,0.21077215775414213,0.21849674241220413
14a,ON,25.77506391779178,0.6207854004016091,0.5717455941803952,0.5627778103423942,True,25.67459499690449,15.98308054116704,0.6009529282469891,0.39904707175301113,-0.2015406403566763
14b,ON,11.186482138511007,0.7958038374246732,0.7664904538250324,0.7462176755308818,True,7.201989928439982,11.497213790287395,0.3677874208536725,0.6322125791463276,0.16405796995744154
17a,unknown,8.452867563895103,0.4366998922722171,0.4340493022638269,0.43059766304657743,True,6.298569373306161,6.35495926914108,0.49811566215359726,0.5018843378464026,-0.25112531597948684
17b,unknown,8.51537553532553,0.570595199963809,0.5599535915774076,0.5525068452104759,True,6.911448834847129,6.241390354313104,0.46918205478270525,0.5308179452172946,-0.2670108529241656
